question_id	question_rank	document_title	paragraph_index
100	2	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	3	Qing_dynasty	0
100	4	Han_dynasty	5
100	5	Qing_dynasty	50
103	1	History_of_India	28
103	2	Pesticide	18
103	3	Slavs	34
103	4	Bird_migration	5
103	5	Symbiosis	8
106	1	Slavs	34
106	2	Pesticide	18
106	3	Institute_of_technology	9
106	4	Punjab,_Pakistan	21
106	5	Bird_migration	5
109	1	Sino-Tibetan_relations_during_the_Ming_dynasty	59
109	2	Sino-Tibetan_relations_during_the_Ming_dynasty	34
109	3	Hindu_philosophy	21
109	4	Sino-Tibetan_relations_during_the_Ming_dynasty	22
109	5	Sino-Tibetan_relations_during_the_Ming_dynasty	35
112	1	Queen_Victoria	36
112	2	Liberia	22
112	3	Queen_(band)	53
112	4	Slavs	34
112	5	Tristan_da_Cunha	5
115	1	Hunting	34
115	2	Symbiosis	9
115	3	Aspirated_consonant	14
115	4	Slavs	34
115	5	Appalachian_Mountains	14
118	1	Nigeria	31
118	2	Pesticide	18
118	3	Nigeria	16
118	4	Slavs	34
118	5	Nigeria	3
121	1	Zinc	10
121	2	Zinc	14
121	3	Diarrhea	15
121	4	Zinc	26
121	5	Zinc	30
124	1	Hunting	14
124	2	Hunting	10
124	3	Catalan_language	69
124	4	Hunting	9
124	5	Hunting	17
127	1	Slavs	34
127	2	Pesticide	18
127	3	Hindu_philosophy	21
127	4	Institute_of_technology	9
127	5	Bird_migration	5
130	1	Bird_migration	52
130	2	Bird_migration	37
130	3	Bird_migration	46
130	4	Bird_migration	27
130	5	Bird_migration	18
133	1	Pesticide	18
133	2	Slavs	34
133	3	Bird_migration	5
133	4	Dutch_Republic	14
133	5	Symbiosis	8
136	1	Slavs	34
136	2	Pesticide	18
136	3	Greeks	34
136	4	Carnival	4
136	5	Galicia_(Spain)	24
139	1	Athanasius_of_Alexandria	0
139	2	Athanasius_of_Alexandria	22
139	3	Athanasius_of_Alexandria	18
139	4	Athanasius_of_Alexandria	13
139	5	Athanasius_of_Alexandria	30
142	1	Pesticide	18
142	2	Slavs	34
142	3	Galicia_(Spain)	24
142	4	Greeks	34
142	5	Punjab,_Pakistan	21
145	1	Kathmandu	50
145	2	Kathmandu	7
145	3	Kathmandu	16
145	4	Kathmandu	51
145	5	Tibet	33
148	1	The_Times	47
148	2	Somerset	6
148	3	Slavs	34
148	4	Pesticide	18
148	5	Institute_of_technology	9
151	1	Slavs	34
151	2	Pesticide	18
151	3	Punjab,_Pakistan	21
151	4	Greeks	34
151	5	Galicia_(Spain)	24
154	1	Slavs	34
154	2	Pesticide	18
154	3	Symbiosis	8
154	4	Bird_migration	5
154	5	Punjab,_Pakistan	21
157	1	Quran	23
157	2	Textual_criticism	20
157	3	Printed_circuit_board	17
157	4	Pesticide	18
157	5	Slavs	34
160	1	Symbiosis	8
160	2	Slavs	34
160	3	Pesticide	18
160	4	Bird	25
160	5	Bird_migration	5
163	1	Slavs	34
163	2	Pesticide	18
163	3	Symbiosis	8
163	4	Bird_migration	5
163	5	Punjab,_Pakistan	21
166	1	The_Times	50
166	2	Slavs	34
166	3	Pesticide	18
166	4	Galicia_(Spain)	24
166	5	Bird_migration	5
169	1	Muammar_Gaddafi	60
169	2	Muammar_Gaddafi	61
169	3	Muammar_Gaddafi	59
169	4	Muammar_Gaddafi	34
169	5	Muammar_Gaddafi	46
172	1	Slavs	34
172	2	Pesticide	18
172	3	Bird_migration	5
172	4	Punjab,_Pakistan	21
172	5	Symbiosis	8
175	1	Slavs	34
175	2	Pesticide	18
175	3	Institute_of_technology	9
175	4	Punjab,_Pakistan	21
175	5	Bird_migration	5
178	1	New_Haven,_Connecticut	62
178	2	New_Haven,_Connecticut	65
178	3	New_Haven,_Connecticut	64
178	4	New_Haven,_Connecticut	63
178	5	New_Haven,_Connecticut	43
181	1	The_Bronx	4
181	2	The_Bronx	56
181	3	The_Bronx	6
181	4	The_Bronx	15
181	5	The_Bronx	51
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Russian_Soviet_Federative_Socialist_Republic	17
184	3	Russian_Soviet_Federative_Socialist_Republic	11
184	4	Federalism	17
184	5	Molotov%E2%80%93Ribbentrop_Pact	21
187	1	Catalan_language	68
187	2	Catalan_language	26
187	3	Catalan_language	32
187	4	Catalan_language	20
187	5	Catalan_language	31
190	1	Cotton	15
190	2	Cotton	7
190	3	Cotton	16
190	4	Cotton	8
190	5	Cotton	18
193	1	Pesticide	18
193	2	Slavs	34
193	3	Bird_migration	5
193	4	Umayyad_Caliphate	24
193	5	Portugal	8
196	1	Slavs	34
196	2	Tibet	6
196	3	Pesticide	18
196	4	Zhejiang	35
196	5	Christian	18
199	1	San_Diego	29
199	2	San_Diego	39
199	3	San_Diego	44
199	4	San_Diego	43
199	5	San_Diego	5
202	1	Slavs	34
202	2	Pesticide	18
202	3	Bird_migration	5
202	4	Institute_of_technology	9
202	5	Galicia_(Spain)	24
205	1	Alexander_Graham_Bell	58
205	2	Westminster_Abbey	33
205	3	Alexander_Graham_Bell	0
205	4	Westminster_Abbey	34
205	5	Slavs	34
208	1	Slavs	34
208	2	Pesticide	18
208	3	New_Delhi	33
208	4	Punjab,_Pakistan	21
208	5	Carnival	35
211	1	Slavs	34
211	2	Institute_of_technology	9
211	3	Pesticide	18
211	4	Symbiosis	9
211	5	Apollo	9
214	1	Punjab,_Pakistan	21
214	2	Printed_circuit_board	6
214	3	Slavs	34
214	4	Bird_migration	5
214	5	Pesticide	18
217	1	Cubism	30
217	2	Cubism	34
217	3	Cubism	38
217	4	Cubism	32
217	5	Neoclassical_architecture	0
220	1	Slavs	34
220	2	Pesticide	18
220	3	Somalis	62
220	4	Greeks	34
220	5	Punjab,_Pakistan	21
223	1	Slavs	34
223	2	Pesticide	18
223	3	Greeks	34
223	4	Institute_of_technology	9
223	5	Punjab,_Pakistan	21
226	1	Pub	76
226	2	Saint_Helena	38
226	3	Pub	29
226	4	Pub	60
226	5	Pub	46
229	1	Slavs	34
229	2	Symbiosis	8
229	3	Punjab,_Pakistan	21
229	4	Pesticide	18
229	5	Bird_migration	5
232	1	Slavs	34
232	2	Pesticide	18
232	3	Bird_migration	5
232	4	Symbiosis	8
232	5	Galicia_(Spain)	24
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	Pesticide	18
235	3	Galicia_(Spain)	24
235	4	Slavs	34
235	5	Bird_migration	5
238	1	Queen_Victoria	36
238	2	Tristan_da_Cunha	5
238	3	Queen_(band)	53
238	4	Queen_Victoria	4
238	5	Slavs	34
241	1	USB	30
241	2	USB	29
241	3	USB	33
241	4	USB	2
241	5	USB	24
244	1	Slavs	34
244	2	Pesticide	18
244	3	Institute_of_technology	9
244	4	Symbiosis	9
244	5	Punjab,_Pakistan	21
247	1	Slavs	34
247	2	Symbiosis	8
247	3	Pesticide	18
247	4	Greeks	34
247	5	Galicia_(Spain)	24
250	1	Slavs	34
250	2	Estonia	6
250	3	Pesticide	18
250	4	Greeks	34
250	5	Bird_migration	5
253	1	Samurai	40
253	2	Samurai	44
253	3	Samurai	30
253	4	Samurai	13
253	5	Samurai	43
256	1	Bird_migration	5
256	2	University	1
256	3	Gothic_architecture	34
256	4	Symbiosis	8
256	5	Pesticide	18
259	1	Slavs	34
259	2	Pesticide	18
259	3	Computer	55
259	4	Planck_constant	13
259	5	Catalan_language	69
262	1	Symbiosis	8
262	2	Slavs	34
262	3	Pesticide	18
262	4	Punjab,_Pakistan	21
262	5	Galicia_(Spain)	24
265	1	Dog	15
265	2	Dog	24
265	3	Dog	16
265	4	Dog	50
265	5	Dog	28
268	1	Pesticide	18
268	2	Slavs	34
268	3	Computer_security	17
268	4	St._John%27s,_Newfoundland_and_Labrador	22
268	5	Bird_migration	5
271	1	Mexico_City	65
271	2	Mexico_City	0
271	3	Mexico_City	85
271	4	Mexico_City	24
271	5	Mexico_City	83
274	1	Slavs	34
274	2	Punjab,_Pakistan	21
274	3	Pesticide	18
274	4	Bird_migration	5
274	5	Galicia_(Spain)	24
277	1	Slavs	34
277	2	Pesticide	18
277	3	Galicia_(Spain)	24
277	4	Greeks	34
277	5	Punjab,_Pakistan	21
280	1	Pesticide	18
280	2	Slavs	34
280	3	Bird_migration	5
280	4	Punjab,_Pakistan	21
280	5	Symbiosis	8
283	1	Detroit	38
283	2	Chihuahua_(state)	63
283	3	Slavs	34
283	4	Bird_migration	5
283	5	Pesticide	18
286	1	East_India_Company	24
286	2	Dutch_Republic	15
286	3	East_India_Company	30
286	4	History_of_India	64
286	5	Saint_Helena	8
289	1	Steven_Spielberg	1
289	2	Steven_Spielberg	46
289	3	Steven_Spielberg	21
289	4	Steven_Spielberg	47
289	5	Steven_Spielberg	8
292	1	North_Carolina	52
292	2	North_Carolina	56
292	3	Raleigh,_North_Carolina	9
292	4	Atlantic_City,_New_Jersey	0
292	5	North_Carolina	55
295	1	Antarctica	3
295	2	Symbiosis	8
295	3	Slavs	34
295	4	Antarctica	21
295	5	Alps	17
298	1	Cyprus	52
298	2	Cyprus	40
298	3	Cyprus	20
298	4	Cyprus	16
298	5	Cyprus	19
